zip_code,median_household_income_acs2019,derived_income_quartile
04925,58438,2
04927,49750,2
04928,41875,1
04929,34917,1
04930,39617,1
04932,57250,2
04937,40725,1
04938,47556,1
04939,39464,1
04941,52311,2
04942,31280,1
04943,33831,1
04945,40417,1
04947,59219,2
04949,48203,2
04950,41900,1
04951,45188,1
04952,55208,2
04953,56016,2
04955,51806,2
04956,52361,2
04957,48986,2
04958,51622,2
04961,44318,1
04963,63125,3
04964,56000,2
04965,49511,2
04966,38859,1
04967,47634,1
04969,49063,2
04970,57974,2
04971,48953,2
04973,64773,3
04974,36262,1
04976,45944,1
04978,70054,3
04979,45455,1
04981,59035,2
04982,42500,1
04983,43594,1
04984,42917,1
04985,24583,1
04986,47799,1
04987,47031,1
04988,27227,1
04989,63092,3
05001,64277,3
05031,85833,4
05032,57682,2
05033,51510,2
05034,72625,3
05035,51429,2
05036,57386,2
05037,91786,4
05038,52303,2
05039,50500,2
05040,76500,3
05041,68664,3
05042,53750,2
05043,80551,3
05045,56094,2
05046,55000,2
05048,66342,3
05050,41694,1
05051,55179,2
05052,67991,3
05053,93750,4
05055,120729,4
05056,59375,2
05058,56250,2
05060,59737,2
05061,68964,3
05062,55694,2
05065,60174,2
05067,126458,4
05068,57995,2
05069,61875,3
05070,99792,4
05071,54352,2
05072,81750,3
05075,80795,3
05076,47404,1
05077,59464,2
05079,57500,2
05081,36786,1
05083,47443,1
05084,74375,3
05086,70250,3
05089,50710,2
05091,75556,3
05101,43237,1
05141,40000,1
05142,56688,2
05143,57974,2
05146,61000,3
05148,72813,3
05149,53333,2
05150,30685,1
05151,70906,3
05152,58750,2
05153,48214,2
05154,35795,1
05155,54732,2
05156,52488,2
05158,75313,3
05161,76953,3
05201,51106,2
05250,58548,2
05251,51250,2
05252,68500,3
05254,93162,4
05255,66181,3
05257,61847,3
05260,88565,4
05261,57813,2
05262,87328,4
05301,44437,1
05340,54306,2
05341,48750,2
05342,43750,1
05343,61641,3
05345,54917,2
05346,57716,2
05350,57500,2
05352,68594,3
05353,56389,2
05354,66905,3
05355,60000,2
05356,53167,2
05358,63750,3
05359,62778,3
05360,48125,2
05361,69338,3
05362,57917,2
05363,50461,2
05401,45018,1
05403,72924,3
05404,51728,2
05408,68949,3
05440,53550,2
05441,65481,3
05442,69375,3
05443,69306,3
05444,71875,3
05445,108611,4
05446,71090,3
05447,45500,1
05448,68750,3
05450,59522,2
05452,84717,4
05454,80288,3
05455,89609,4
05456,80455,3
05457,77434,3
05458,73250,3
05459,52731,2
05461,72766,3
05462,87390,4
05463,59583,2
05464,72866,3
05465,98375,4
05468,87640,4
05471,38333,1
05472,74659,3
05473,81250,3
05474,80781,3
05476,48179,2
05477,99005,4
05478,63357,3
05482,96064,4
05483,69808,3
05485,63333,3
05486,94063,4
05487,70481,3
05488,65191,3
05489,101417,4
05491,72275,3
05492,70000,3
05494,92292,4
05495,93054,4
05602,68338,3
05640,52500,2
05641,56156,2
05647,44091,1
05648,77813,3
05649,82804,4
05650,65063,3
05651,63409,3
05652,56875,2
05653,56667,2
05654,44063,1
05655,60000,2
05656,53125,2
05657,94643,4
05658,60278,2
05660,83125,4
05661,63679,3
05663,67328,3
05667,51574,2
05669,63750,3
05672,59770,2
05673,80590,3
05674,64022,3
05675,59938,2
